YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,GarageArea,TotalBsmtSF,GarageCars,2ndFlrSF,GrLivArea,OverallQual,SalePrice
2003,2003,8,2,856,548,856,2,854,1710,7,208500
1976,1976,6,2,1262,460,1262,2,0,1262,6,181500
2002,2001,6,2,920,608,920,2,866,1786,7,223500
1970,1915,7,1,961,642,756,3,756,1717,7,140000
2000,2000,9,2,1145,836,1145,3,1053,2198,8,250000
1995,1993,5,1,796,480,796,2,566,1362,5,143000
2005,2004,7,2,1694,636,1686,2,0,1694,8,307000
1973,1973,7,2,1107,484,1107,2,983,2090,7,200000
1950,1931,8,2,1022,468,952,2,752,1774,7,129900
1950,1939,5,1,1077,205,991,1,0,1077,5,118000
1965,1965,5,1,1040,384,1040,1,0,1040,5,129500
2006,2005,11,3,1182,736,1175,3,1142,2324,9,345000
1962,1962,4,1,912,352,912,1,0,912,5,144000
2007,2006,7,2,1494,840,1494,3,0,1494,7,279500
1960,1960,5,1,1253,352,1253,1,0,1253,6,157000
2001,1929,5,1,854,576,832,2,0,854,7,132000
1970,1970,5,1,1004,480,1004,2,0,1004,6,149000
1967,1967,6,2,1296,516,0,2,0,1296,4,90000
2004,2004,6,1,1114,576,1114,2,0,1114,5,159000
1965,1958,6,1,1339,294,1029,1,0,1339,5,139000
2006,2005,9,3,1158,853,1158,3,1218,2376,8,325300
1950,1930,6,1,1108,280,637,1,0,1108,7,139400
2002,2002,7,2,1795,534,1777,2,0,1795,8,230000
1976,1976,6,1,1060,572,1040,2,0,1060,5,129900
2001,1968,6,1,1060,270,1060,1,0,1060,5,154000
2007,2007,7,2,1600,890,1566,3,0,1600,8,256300
2000,1951,5,1,900,576,900,2,0,900,5,134800
2008,2007,7,2,1704,772,1704,3,0,1704,8,306000
1997,1957,6,1,1600,319,1484,1,0,1600,5,207500
1950,1927,4,1,520,240,520,1,0,520,4,68500
1950,1920,6,1,649,250,649,1,668,1317,4,40000
2006,1966,6,1,1228,271,1228,1,0,1228,5,149350
2007,2007,7,2,1234,484,1234,2,0,1234,8,179900
1959,1959,6,1,1700,447,1398,2,0,1700,5,165500
2005,2005,6,2,1561,556,1561,2,0,1561,9,277500
2005,2004,9,3,1132,691,1117,3,1320,2452,8,309000
1995,1994,6,1,1097,672,1097,2,0,1097,5,145000
1990,1954,5,1,1297,498,1297,2,0,1297,5,153000
2007,1953,5,1,1057,246,1057,1,0,1057,5,109000
1955,1955,6,2,1152,0,0,0,0,1152,4,82000
1965,1965,6,2,1324,440,1088,2,0,1324,6,160000
1959,1959,5,1,1328,308,1350,1,0,1328,5,170000
1983,1983,5,1,884,504,840,2,0,884,5,144000
1980,1975,5,1,938,308,938,1,0,938,5,130250
1959,1959,6,1,1150,300,1150,1,0,1150,5,141000
2005,2005,6,2,1752,576,1752,2,0,1752,9,319900
2003,2003,6,1,1518,670,1434,2,631,2149,7,239686
2006,2006,7,2,1656,826,1656,3,0,1656,8,249700
2008,1920,8,2,736,0,736,0,716,1452,4,113000
1966,1966,6,1,955,386,955,1,0,955,5,127000
1997,1997,6,2,794,388,794,2,676,1470,6,177000
1950,1934,6,1,816,528,816,2,0,1176,6,114500
1963,1963,5,1,816,516,816,2,0,816,5,110000
1987,1981,5,0,1842,894,1842,3,0,1842,9,385000
1955,1955,6,1,1360,572,384,2,0,1360,5,130000
1964,1964,7,2,1425,576,1425,2,0,1425,6,180500
2000,1999,7,2,983,480,970,2,756,1739,8,172500
2004,2004,7,2,860,565,860,2,860,1720,7,196500
2006,2006,10,3,1426,641,1410,3,1519,2945,10,438780
1972,1972,4,1,780,352,780,1,0,780,5,124900
2004,2004,5,1,1158,576,1158,2,0,1158,6,158000
1996,1920,6,1,581,288,530,1,530,1111,5,101000
2006,2006,6,2,1370,484,1370,2,0,1370,8,202500
1950,1921,9,2,902,480,576,2,808,1710,7,140000
1998,1997,8,2,1057,645,1057,2,977,2034,7,219500
2005,2004,9,2,1143,852,1143,3,1330,2473,8,317000
1989,1970,7,2,2207,576,1947,2,0,2207,7,180000
2003,2003,7,2,1479,558,1453,2,0,1479,7,226000
1950,1945,4,1,747,220,747,1,0,747,4,80000
1953,1953,7,2,1304,667,1304,2,983,2287,7,225000
1973,1973,8,2,2223,516,2223,2,0,2223,7,244000
2006,1982,4,1,845,360,845,2,0,845,4,129500
1998,1998,7,2,885,427,832,2,833,1718,7,185000
2003,1954,6,1,1086,490,1086,2,0,1086,5,144900
1950,1915,8,2,840,379,840,1,765,1605,3,107400
1973,1973,5,1,526,297,462,1,462,988,4,91000
1956,1956,4,1,952,283,952,1,0,952,4,135750
2001,1948,6,1,1072,240,672,1,213,1285,5,127000
1968,1968,8,2,1768,0,1768,0,0,1768,4,136500
1981,1910,5,1,682,440,440,2,548,1230,5,110000
1968,1968,8,2,1182,509,896,1,960,2142,6,193500
1998,1998,5,2,1337,405,1237,2,0,1337,6,153500
2007,2007,6,2,1563,758,1563,3,0,1563,8,245000
1960,1960,6,1,1065,461,1065,2,0,1065,5,126500
1996,1995,7,2,804,400,384,2,670,1474,7,168500
1992,1991,9,2,1301,462,1288,2,1116,2417,8,260000
2005,2005,6,2,684,400,684,2,876,1560,6,174000
2009,2009,4,2,612,528,612,2,612,1224,6,164500
1982,1915,6,1,1013,0,1013,0,0,1526,3,85000
1995,1994,5,1,990,0,990,0,0,990,4,123600
1950,1950,4,1,1040,420,0,2,0,1040,4,109900
1961,1961,6,1,1235,480,1235,2,0,1235,5,98600
2006,1921,5,1,964,432,876,2,0,964,5,163500
1998,1910,9,2,1260,506,1214,2,1031,2291,6,133900
1997,1997,7,2,905,684,824,2,881,1786,6,204750
1993,1993,6,2,680,420,680,2,790,1470,6,185000
1999,1999,6,2,1588,472,1588,2,0,1588,7,214000
1965,1965,6,1,960,432,960,1,0,960,4,94750
1950,1920,5,1,835,366,458,1,0,835,5,83000
1959,1959,6,1,1225,0,950,0,0,1225,4,128950
2001,1977,6,2,1610,480,1610,2,0,1610,6,205000
1985,1985,7,2,977,476,741,2,755,1732,6,178000
1979,1979,8,2,1535,410,0,2,0,1535,5,118964
2009,2009,6,2,1226,740,1226,3,0,1226,7,198900
1950,1931,7,1,1226,240,1040,1,592,1818,7,169500
2004,2003,9,2,1053,648,1053,2,939,1992,8,250000
1995,1885,6,1,1047,273,641,1,0,1047,4,100000
1950,1948,5,1,789,250,789,1,0,789,5,115000
2005,1919,7,2,997,0,793,0,520,1517,5,115000
1977,1977,7,2,1844,546,1844,2,0,1844,6,190000
1972,1954,7,2,1216,325,994,1,639,1855,6,136900
2000,2000,7,2,774,400,384,2,656,1430,7,180000
2007,2007,10,2,1282,792,1264,3,1414,2696,7,383970
1953,1953,7,2,2259,450,1809,2,0,2259,6,217000
2002,1945,9,2,1436,180,1028,1,884,2320,6,259500
1999,1999,5,2,729,440,729,2,729,1458,6,176000
1962,1962,6,1,1092,288,1092,1,0,1092,5,139000
2007,2006,5,1,1125,430,1125,2,0,1125,5,155000
1990,1990,11,3,1699,594,1673,3,1523,3222,7,320000
2006,2005,8,2,728,390,728,2,728,1456,6,163990
1969,1969,4,1,988,540,938,2,0,988,6,180000
1950,1939,4,1,772,264,732,1,351,1123,4,100000
1958,1958,5,1,1080,288,1080,1,0,1080,6,136000
1993,1993,5,2,1199,530,1199,2,0,1199,6,153900
1998,1979,7,2,1586,435,1362,2,0,1586,6,181000
1982,1935,5,1,520,0,520,0,0,754,6,84500
1976,1976,5,2,958,440,1078,2,0,958,6,128000
1950,1930,5,1,840,0,672,0,0,840,5,87000
1966,1966,6,1,660,453,660,2,688,1348,6,155000
1991,1958,6,1,1053,750,1008,2,0,1053,5,150000
1966,1966,8,2,1216,487,924,2,941,2157,7,226000
2000,2000,7,2,1022,390,992,2,1032,2054,6,244000
2002,1959,7,1,1327,624,1063,2,0,1327,5,150750
2002,2001,6,2,1296,471,1267,2,0,1296,8,220000
1993,1968,7,2,1721,440,1461,2,0,1721,5,180000
1970,1970,7,2,1682,530,1304,2,0,1682,7,174000
1967,1967,5,2,1214,318,1214,1,0,1214,5,143000
1989,1988,9,3,1959,766,1907,3,0,1959,7,171000
